Label,ID,Spot N links,Spot center intensity,Spot center intensity,Spot frame,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot position,Spot position,Spot position,Spot quick mean,Spot quick mean,Spot radius,Spot track ID,Track N spots
,, ,Center ch1,Center ch2, ,Mean ch1,Std ch1,Min ch1,Max ch1,Median ch1,Sum ch1,Mean ch2,Std ch2,Min ch2,Max ch2,Median ch2,Sum ch2,X,Y,Z,Mean ch1,Mean ch2, , , 
,,,(Counts),(Counts),,(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(µm),(µm),(µm),(Counts),(Counts),(µm),,
PSM,78,2,58.43124782,1453.420509,109,50.88095238,38.51440186,0,160,53,4274,1051.642857,727.1927148,80,3067,1040,88338,17.27025908,451.3395707,20.66610995,47.38461538,874.9615385,5,0,104
PSM,79,2,57.0658297,1198.726537,110,50.6627907,39.93807279,0,160,53,4357,833.627907,622.6876858,0,2026,774,71692,16.48077406,451.7343132,20.66610995,50.88461538,766.6538462,5,0,104
PSM,80,2,70.36962304,1122.712807,111,65.27906977,49.31403598,0,213,53,5614,804.8255814,489.2462436,53,2000,774,69215,17.66500159,448.9711156,20.66610995,66.34615385,695.8846154,5,0,104
SM,81,2,57.91119379,1021.651599,112,55.8375,42.39639457,0,187,53,4467,766.2125,466.6738132,26,1920,773,61297,19.44134289,450.5500857,20.66610995,56.2,654.6,5,0,104
SM,82,2,73.15112686,918.3534885,113,90.10465116,67.84359679,0,347,80,7749,635.3023256,415.9190269,26,1840,613,54636,19.61368212,450.4696455,20.68818481,90.19230769,539.8461538,5,0,104
SM,83,2,100.738571,970.4094498,114,115.0833333,91.55513295,0,506,80,9667,619.2261905,580.4961391,0,2053,373,52015,18.34882174,449.9637784,20.69701475,119.7857143,511.9642857,5,0,104
SM,84,2,147.4211468,1017.229187,115,187.2298851,144.8919968,0,667,160,16289,668.0689655,504.3989007,0,1573,720,58122,20.90911129,449.7108448,20.70142972,176.7307692,593.5769231,5,0,104
SM,85,2,198.5395992,984.3673643,116,189.5,100.0428612,26,507,160,15539,658.4146341,493.0348935,0,1600,693,53990,21.84036675,451.7094353,20.68376984,176.3703704,527.1481481,5,0,104
SM,86,2,191.9715085,1018.317147,117,171.5609756,96.36249687,26,453,160,14068,696.1829268,519.9973202,0,1840,533,57087,21.42059221,451.7401197,20.69701475,157.4230769,580.5769231,5,0,104
SM,87,2,229.2714411,1172.523615,118,185.9767442,107.9699279,0,533,186,15994,784.3604651,573.659315,0,2133,720,67455,21.3344226,452.2459868,20.68818481,168.9259259,682.1481481,5,0,104
SM,88,2,226.4812367,1111.737519,119,180.3589744,122.4693945,0,454,160,14068,817.9871795,551.2753217,26,1813,800,63803,22.1618589,451.8782006,19.89446342,169.0833333,718.375,5,0,104
SM,89,2,224.0811913,1102.551025,120,182.9382716,98.13859405,26,453,186,14818,849.1728395,483.1953743,0,1786,986,68783,24.07988009,451.2269835,19.69036553,169.2,734.8,5,0,104
SM,90,2,228.0206984,1159.764651,121,196.9367089,105.3434361,0,560,187,15558,1017.632911,363.6790349,133,1947,1040,80393,22.90857154,453.1214896,19.79368759,183.4347826,929.9130435,5,0,104
SM,91,2,175.6315977,793.4760659,122,165.0519481,76.53360048,0,374,160,12709,728.1558442,281.3395619,213,1440,720,56068,25.07965535,453.3188609,19.79368759,155.5416667,683.3333333,5,0,104
SM,92,2,174.5639056,830.2052039,123,160.5915493,74.91339332,0,373,160,11402,747.2816901,264.5089349,240,1360,746,53057,25.07965535,452.7267471,19.79368759,146.6086957,661.7826087,5,0,104
SM,93,2,183.8414448,906.7425079,124,156.15,85.93861513,0,373,160,12492,735.9,366.9260816,80,1733,719,58872,25.2770266,452.3320046,19.79368759,143.32,646.68,5,0,104
SM,94,2,194.0879847,980.1219516,125,170.85,93.18853898,0,373,160,13668,796.8875,372.7596706,133,1493,800,63751,25.47439786,455.2925734,19.79368759,170.3181818,759.6363636,5,0,104
SM,95,2,204.1406797,1021.819179,126,180.987013,86.10084258,0,347,186,13936,838.7142857,387.8159105,160,1680,853,64581,22.90857154,454.1083459,19.79368759,164.4583333,748.8333333,5,0,104
SM,96,2,214.2110049,1124.71606,127,174.8589744,104.6321602,26,560,160,13639,881.2435897,523.4513135,80,2213,800,68737,25.86914037,455.2925734,19.79368759,165.1304348,825.5217391,5,0,104
